lambda,delta,operator,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high,predictive_utility_mean,predictive_utility_std,predictive_utility_ci_low,predictive_utility_ci_high,kendall_tau_mean,kendall_tau_std,kendall_tau_ci_low,kendall_tau_ci_high,jaccard_top_k_mean,jaccard_top_k_std,jaccard_top_k_ci_low,jaccard_top_k_ci_high
0.9,0.0,linear,0.46188,0.04728743703883413,0.37,0.55,0.9127894076398806,0.005452317596798979,0.9015882637575885,0.9234924341529027,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.9,0.0,geometric,0.0,0.0,0.0,0.0,0.8466790864767397,0.008894141260208597,0.8295108344497604,0.8634981672956441,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.9,0.0,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.9,0.05,linear,0.59907,0.045966814638911495,0.5,0.68,0.9186840335696043,0.005199435604919999,0.9082249265113257,0.9288340320208718,0.9530543222552732,0.0017050696565660158,0.9496543800367573,0.9564744516455659,0.7338368353850903,0.04208566255708344,0.6528925619834711,0.8181818181818182
0.9,0.05,geometric,0.0,0.0,0.0,0.0,0.8496013201649075,0.008826452008330477,0.8320803550139477,0.8667991346123914,0.9807674311926604,0.001437106386384071,0.9779186822351958,0.9836493953294411,0.9271556524949183,0.03223923623060155,0.8691588785046729,0.9801980198019802
0.9,0.05,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9984404753961633,0.0005510934674505169,0.9972602168473726,0.9994248331943284,1.0,0.0,1.0,1.0
0.9,0.1,linear,0.7195,0.042428176370781605,0.63,0.8,0.9171796846573781,0.005210313039934586,0.9062756961092876,0.9275599224360928,0.9101575198019728,0.003380021049906272,0.9035478255151492,0.9167043686311724,0.5510273360710257,0.04394985902407918,0.4705882352941176,0.639344262295082
0.9,0.1,geometric,0.0,0.0,0.0,0.0,0.8510415177485734,0.00874384631233994,0.8341274785034992,0.868022469851317,0.9614867806505419,0.0028590599370943836,0.9558214136780648,0.9671279190992492,0.8447983146475326,0.04262862654181449,0.7543859649122807,0.9230769230769232
0.9,0.1,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9975221934945787,0.0009188097524229307,0.9955585904920767,0.9991537739783151,1.0,0.0,1.0,1.0
0.9,0.15,linear,0.8086500000000001,0.03791985516079162,0.73,0.88,0.9097365180071699,0.004827799643704259,0.9000227985805119,0.9187553532954976,0.8707194231883661,0.005022499409347822,0.8607095334709965,0.8803161339283694,0.4214912084194319,0.0433917136834297,0.3422818791946309,0.5037593984962406
0.9,0.15,geometric,0.0,0.0,0.0,0.0,0.8500713461357053,0.008797164723957746,0.8328399672411014,0.8670977507308141,0.9425278982485404,0.004258047980910334,0.9341354253544619,0.9512053794829023,0.7635431019980347,0.04739599735771661,0.6666666666666666,0.8518518518518519
0.9,0.15,min,0.0,0.0,0.0,0.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.9971170433694745,0.0011096180920264166,0.9949121142618848,0.9990454545454543,1.0,0.0,1.0,1.0
0.9,0.2,linear,0.7645799999999999,0.04626190402224885,0.67,0.85,0.8869101715188017,0.005158116719373006,0.8771393619486957,0.8970915639212906,0.8344437740078388,0.006684390517461314,0.8215305788843569,0.8474262243427951,0.28803434642842013,0.03519006562238746,0.2195121951219512,0.3605442176870748
