trial,seed,analysis,operator,sigma_r,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
10,52,score_uncertainty,geometric,0.02,0.9671017514595495,0.8867924528301887,0.001783902354700606,0.0,0.8215184118320508
10,52,score_uncertainty,geometric,0.05,0.9133698268260818,0.7699115044247787,0.008390762907946714,0.0,0.8281252723852969
10,52,score_uncertainty,geometric,0.1,0.8377194271831099,0.6,0.02078903120889164,0.0,0.8405235406862418
10,52,score_uncertainty,geometric,0.2,0.7055438984147802,0.43884892086330934,0.08050664892224102,0.0,0.9002411583995912
10,52,score_uncertainty,min,0.0,0.9999999999999999,1.0,0.0,0.0,0.7415841545069384
10,52,score_uncertainty,min,0.02,0.9732151793160967,0.9801980198019802,0.00013892741476306814,0.0,0.7417230819217014
10,52,score_uncertainty,min,0.05,0.928947650026028,0.8018018018018018,0.00173432800967388,0.0,0.7433184825166123
10,52,score_uncertainty,min,0.1,0.8694485507568659,0.6949152542372882,0.011924883111486095,0.0,0.7535090376184245
10,52,score_uncertainty,min,0.2,0.7593099204435921,0.5625,0.06118733623165584,0.0,0.8027714907385942
11,53,score_uncertainty,linear,0.0,1.0,1.0,0.0,0.1,0.8588786761145555
11,53,score_uncertainty,linear,0.02,0.9447896239971248,0.8518518518518519,0.007348072747822787,0.12,0.8662267488623783
11,53,score_uncertainty,linear,0.05,0.8628674962143634,0.6528925619834711,0.012257240161595573,0.12,0.8711359162761511
11,53,score_uncertainty,linear,0.1,0.7389919806324737,0.43884892086330934,0.037553331831617354,0.23,0.8964320079461728
11,53,score_uncertainty,linear,0.2,0.543613867278915,0.3157894736842105,0.07362170214532548,0.05,0.932500378259881
11,53,score_uncertainty,geometric,0.0,0.9999999999999999,1.0,0.0,0.0,0.8146257149521924
11,53,score_uncertainty,geometric,0.02,0.9665054211843201,0.8348623853211009,0.0018412977722078727,0.0,0.8164670127244003
11,53,score_uncertainty,geometric,0.05,0.9159416257580972,0.7857142857142857,0.011703951197341356,0.0,0.8263296661495337
11,53,score_uncertainty,geometric,0.1,0.8320719432543464,0.6260162601626016,0.00720514867190869,0.0,0.8218308636241011
11,53,score_uncertainty,geometric,0.2,0.7011198065888246,0.3986013986013986,0.08130098405265274,0.0,0.8959266990048451
11,53,score_uncertainty,min,0.0,0.9999999999999999,1.0,0.0,0.0,0.7336307396080515
11,53,score_uncertainty,min,0.02,0.971371976647206,0.9230769230769231,-0.0013490107078455438,0.0,0.7322817289002059
11,53,score_uncertainty,min,0.05,0.9296350567128182,0.8518518518518519,0.004763853699702558,0.0,0.738394593307754
11,53,score_uncertainty,min,0.1,0.8579867650258792,0.7241379310344828,0.00273333670434861,0.0,0.7363640763124001
11,53,score_uncertainty,min,0.2,0.7493317918479527,0.5267175572519084,0.054292743768118656,0.0,0.7879234833761701
12,54,score_uncertainty,linear,0.0,1.0,1.0,0.0,0.13,0.8552856203904861
12,54,score_uncertainty,linear,0.02,0.9425745745745746,0.8018018018018018,0.005259973989468314,0.13,0.8605455943799544
12,54,score_uncertainty,linear,0.05,0.8599989594798784,0.6,0.031462940479946466,0.15,0.8867485608704325
12,54,score_uncertainty,linear,0.1,0.7350269974743914,0.41843971631205673,0.0604842183766795,0.16,0.9157698387671656
12,54,score_uncertainty,linear,0.2,0.5450634728764308,0.2345679012345679,0.08381051348111457,0.0,0.9390961338716006
12,54,score_uncertainty,geometric,0.0,0.9999999999999999,1.0,0.0,0.0,0.8066326766661356
12,54,score_uncertainty,geometric,0.02,0.9660771847211629,0.9047619047619048,0.0007317103639298272,0.0,0.8073643870300654
12,54,score_uncertainty,geometric,0.05,0.914250621202785,0.7391304347826086,0.022607177599015982,0.0,0.8292398542651516
12,54,score_uncertainty,geometric,0.1,0.8369986474283699,0.6260162601626016,0.05074209060266277,0.0,0.8573747672687984
12,54,score_uncertainty,geometric,0.2,0.6998808842495733,0.36054421768707484,0.09031483769158499,0.0,0.8969475143577206
12,54,score_uncertainty,min,0.0,0.9999999999999999,1.0,0.0,0.0,0.7160441765493144
12,54,score_uncertainty,min,0.02,0.9727132641146935,0.9047619047619048,-0.0013280933293168262,0.0,0.7147160832199976
12,54,score_uncertainty,min,0.05,0.9324393892507084,0.7699115044247787,0.005109075302443644,0.0,0.721153251851758
12,54,score_uncertainty,min,0.1,0.8731831607178883,0.7094017094017094,0.01784567475182053,0.0,0.7338898513011349
12,54,score_uncertainty,min,0.2,0.7522190314794581,0.4925373134328358,0.05688350170493606,0.0,0.7729276782542505
13,55,score_uncertainty,linear,0.0,1.0,1.0,0.0,0.07,0.8532084792248789
13,55,score_uncertainty,linear,0.02,0.9469269269269269,0.8348623853211009,0.007426068832709354,0.11,0.8606345480575882
13,55,score_uncertainty,linear,0.05,0.8669235928721909,0.6949152542372882,0.01840858677424495,0.1,0.8716170659991238
13,55,score_uncertainty,linear,0.1,0.7439507334424265,0.5037593984962406,0.04270678339979117,0.11,0.89591526262467
13,55,score_uncertainty,linear,0.2,0.551452501808406,0.3422818791946309,0.07570777034493004,0.0,0.9289162495698089
13,55,score_uncertainty,geometric,0.0,0.9999999999999999,1.0,0.0,0.0,0.8202111238575099
13,55,score_uncertainty,geometric,0.02,0.9673603002502084,0.9047619047619048,0.0007077496526962657,0.0,0.8209188735102062
