trial,seed,analysis,operator,lambda,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
4,46,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7518574137587462
4,46,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7518574137587462
4,46,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7518574137587462
4,46,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7518574137587462
4,46,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7518574137587462
5,47,lambda_perturbation,linear,0.7,0.9241761761761761,0.9047619047619048,-0.010507127628476831,0.0,0.8234060061025511
5,47,lambda_perturbation,linear,0.725,0.9627907907907909,0.9230769230769231,-0.008021939622697816,0.0,0.8258911941083301
5,47,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.02,0.8339131337310279
5,47,lambda_perturbation,linear,0.775,0.9655135135135136,0.8348623853211009,0.021335395125241186,0.11,0.8552485288562691
5,47,lambda_perturbation,linear,0.8,0.9339459459459459,0.6666666666666666,0.04250625318320389,0.21,0.8764193869142318
5,47,lambda_perturbation,geometric,0.7,0.9648248540450373,0.9047619047619048,-0.009994407114930604,0.0,0.813352735885775
5,47,lambda_perturbation,geometric,0.725,0.9824478732276896,0.9607843137254902,-0.004489765181893812,0.0,0.8188573778188117
5,47,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8233471430007056
5,47,lambda_perturbation,geometric,0.775,0.9829524603836528,0.9801980198019802,0.001130604731543472,0.0,0.824477747732249
5,47,lambda_perturbation,geometric,0.8,0.965996663886572,0.9230769230769231,0.004588795317687855,0.0,0.8279359383183934
5,47,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.771048759981889
5,47,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.771048759981889
5,47,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.771048759981889
5,47,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.771048759981889
5,47,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.771048759981889
6,48,lambda_perturbation,linear,0.7,0.9271791791791792,0.7857142857142857,-0.02912476002745712,0.0,0.831000937755681
6,48,lambda_perturbation,linear,0.725,0.9648608608608609,0.8348623853211009,-0.02188119402155808,0.0,0.83824450376158
