scenario,lambda,operator,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high,veto_preservation_rate_mean,veto_preservation_rate_std,veto_preservation_rate_ci_low,veto_preservation_rate_ci_high,predictive_utility_mean,predictive_utility_std,predictive_utility_ci_low,predictive_utility_ci_high,n_veto_topk_mean,n_veto_topk_std,n_veto_topk_ci_low,n_veto_topk_ci_high,n_weak_nv_topk_mean,n_weak_nv_topk_std,n_weak_nv_topk_ci_low,n_weak_nv_topk_ci_high,n_normal_topk_mean,n_normal_topk_std,n_normal_topk_ci_low,n_normal_topk_ci_high,frac_veto_topk_mean,frac_veto_topk_std,frac_veto_topk_ci_low,frac_veto_topk_ci_high,frac_weak_nv_topk_mean,frac_weak_nv_topk_std,frac_weak_nv_topk_ci_low,frac_weak_nv_topk_ci_high,frac_normal_topk_mean,frac_normal_topk_std,frac_normal_topk_ci_low,frac_normal_topk_ci_high,e_weak_context_mean,e_weak_context_std,e_weak_context_ci_low,e_weak_context_ci_high,observed_veto_rate_mean,observed_veto_rate_std,observed_veto_rate_ci_low,observed_veto_rate_ci_high,false_negative_veto_rate_mean,false_negative_veto_rate_std,false_negative_veto_rate_ci_low,false_negative_veto_rate_ci_high,kendall_tau_mean,kendall_tau_std,kendall_tau_ci_low,kendall_tau_ci_high,jaccard_top_k_mean,jaccard_top_k_std,jaccard_top_k_ci_low,jaccard_top_k_ci_high,sweep,sigma_q
baseline,0.7,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8067056146037958,0.010353946119637362,0.7859185144721424,0.8274118425811605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5199655671392825,0.014794234496225307,0.4917559424520433,0.5483051501251042,0.18267337639339332,0.02802443121635827,0.12994350282485875,0.2422360248447205,lambda,
baseline,0.7,linear,0.00099,0.004351877622226852,0.0,0.02,0.99901,0.004351877622226856,0.98,1.0,0.8230936526911077,0.009873277778847984,0.8043329498613846,0.84179985943751,0.099,0.4351877622226851,0.0,2.0,1.49,1.2463761284032415,0.0,4.0,98.411,1.3520010750391092,95.0,100.0,0.00099,0.004351877622226852,0.0,0.02,0.014899999999999998,0.012463761284032414,0.0,0.04,0.9841100000000002,0.013520010750391102,0.95,1.0,0.01589,0.013520010750391092,0.0,0.05,0.00099,0.004351877622226852,0.0,0.02,0.0,0.0,0.0,0.0,0.08631893189913657,0.019068057538220107,0.04855634832432008,0.1243648790844192,0.17112457859188282,0.027538508003056537,0.11731843575418995,0.22699386503067484,lambda,
baseline,0.7,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.0,1.0,1.0,lambda,
baseline,0.8,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.828043955361105,0.009572102250997621,0.8099993886882034,0.8462831417092261,0.0,0.0,0.0,0.0,0.444,0.6981055445642524,0.0,2.0,99.556,0.6981055445642523,98.0,100.0,0.0,0.0,0.0,0.0,0.0044399999999999995,0.006981055445642524,0.0,0.02,0.9955600000000002,0.006981055445642531,0.98,1.0,0.0044399999999999995,0.006981055445642524,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4514028065054211,0.015445067076002846,0.42179680984153456,0.4805863219349457,0.14045622304788777,0.024673324000790347,0.0989010989010989,0.19047619047619047,lambda,
baseline,0.8,linear,0.21383000000000002,0.0441336479217261,0.13,0.3,0.78617,0.04413364792172611,0.7,0.87,0.8804373330396674,0.00711016758025291,0.8666505614889914,0.8933250085399845,21.383,4.413364792172611,13.0,30.0,3.741,1.9213564506906602,1.0,8.0,74.876,4.641353915202564,65.975,83.0,0.21383000000000002,0.0441336479217261,0.13,0.3,0.03741000000000001,0.0192135645069066,0.01,0.08,0.74876,0.046413539152025646,0.6597500000000001,0.83,0.25124,0.04641353915202564,0.17,0.3402499999999998,0.21383000000000002,0.0441336479217261,0.13,0.3,0.0,0.0,0.0,0.0,-0.05634869642167954,0.018978805634687557,-0.09228205931984249,-0.018816061276698534,0.10319469124424833,0.02225841436378928,0.06382978723404255,0.1495913892764599,lambda,
baseline,0.8,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.0,1.0,1.0,lambda,
baseline,0.9,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8466790864767397,0.008894141260208597,0.8295108344497604,0.8634981672956441,0.0,0.0,0.0,0.0,5.386,2.370785655563283,1.0,10.0,94.614,2.370785655563283,90.0,99.0,0.0,0.0,0.0,0.0,0.053860000000000005,0.023707856555632824,0.01,0.1,0.9461399999999999,0.02370785655563281,0.9,0.99,0.053860000000000005,0.023707856555632824,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3884359132610508,0.01586869601834565,0.3588388240200166,0.4183737489574645,0.10094697991002688,0.021566974699430683,0.06382978723404255,0.14942528735632185,lambda,
baseline,0.9,linear,0.46188,0.04728743703883413,0.37,0.55,0.5381200000000002,0.047287437038834146,0.44999999999999996,0.63,0.9127894076398806,0.005452317596798976,0.9015882637575885,0.9234924341529026,46.188,4.728743703883413,37.0,55.0,4.841,2.196940041408856,1.0,10.0,48.971,4.814076685547742,40.0,58.0,0.46188,0.04728743703883413,0.37,0.55,0.04841000000000001,0.02196940041408856,0.01,0.1,0.48971000000000003,0.04814076685547742,0.4,0.58,0.51029,0.048140766855477427,0.42,0.6,0.46188,0.04728743703883413,0.37,0.55,0.0,0.0,0.0,0.0,-0.16418754299470886,0.018268334683636568,-0.1986461818946478,-0.12734997125319278,0.05299476192717597,0.016361786222195977,0.02564102564102564,0.08695652173913043,lambda,
baseline,0.9,min,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7443433747467484,0.011533386557922742,0.7214921839953684,0.7660139027139257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.0,1.0,1.0,lambda,
baseline,1.0,geometric,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8554630098888729,0.008687758409208095,0.8384942801219557,0.8727291452759357,0.0,0.0,0.0,0.0,15.568,3.6535906619002527,9.0,23.0,84.432,3.653590661900252,77.0,91.0,0.0,0.0,0.0,0.0,0.15568,0.03653590661900252,0.09,0.23,0.84432,0.03653590661900252,0.77,0.91,0.15568,0.03653590661900252,0.09,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33325213511259383,0.01612888652818723,0.3022091326105087,0.36374311926605496,0.06678193779736441,0.018382637712279215,0.03626943005181347,0.10497237569060773,lambda,
