sigma_r,top_k,config_id,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high
0.05,100,linear@0.10,0.0,0.0,0.0,0.0
0.05,100,linear@0.50,0.0,0.0,0.0,0.0
0.05,100,linear@0.90,0.45512,0.04659782137564972,0.36,0.54
0.05,100,min,0.0,0.0,0.0,0.0
0.1,10,geometric@0.10,0.0,0.0,0.0,0.0
0.1,10,geometric@0.50,0.0,0.0,0.0,0.0
0.1,10,geometric@0.90,0.0,0.0,0.0,0.0
0.1,10,linear@0.10,0.0,0.0,0.0,0.0
0.1,10,linear@0.50,0.0,0.0,0.0,0.0
0.1,10,linear@0.90,0.0,0.0,0.0,0.0
0.1,10,min,0.0,0.0,0.0,0.0
0.1,20,geometric@0.10,0.0,0.0,0.0,0.0
0.1,20,geometric@0.50,0.0,0.0,0.0,0.0
0.1,20,geometric@0.90,0.0,0.0,0.0,0.0
0.1,20,linear@0.10,0.0,0.0,0.0,0.0
0.1,20,linear@0.50,0.0,0.0,0.0,0.0
0.1,20,linear@0.90,0.01925,0.05540764845675648,0.0,0.2
0.1,20,min,0.0,0.0,0.0,0.0
0.1,30,geometric@0.10,0.0,0.0,0.0,0.0
0.1,30,geometric@0.50,0.0,0.0,0.0,0.0
0.1,30,geometric@0.90,0.0,0.0,0.0,0.0
0.1,30,linear@0.10,0.0,0.0,0.0,0.0
0.1,30,linear@0.50,0.0,0.0,0.0,0.0
0.1,30,linear@0.90,0.19146666666666665,0.1372322176839657,0.0,0.4666666666666667
0.1,30,min,0.0,0.0,0.0,0.0
0.1,40,geometric@0.10,0.0,0.0,0.0,0.0
0.1,40,geometric@0.50,0.0,0.0,0.0,0.0
0.1,40,geometric@0.90,0.0,0.0,0.0,0.0
0.1,40,linear@0.10,0.0,0.0,0.0,0.0
0.1,40,linear@0.50,0.0,0.0,0.0,0.0
0.1,40,linear@0.90,0.369875,0.10441629248894607,0.15,0.55
0.1,40,min,0.0,0.0,0.0,0.0
0.1,50,geometric@0.10,0.0,0.0,0.0,0.0
0.1,50,geometric@0.50,0.0,0.0,0.0,0.0
0.1,50,geometric@0.90,0.0,0.0,0.0,0.0
0.1,50,linear@0.10,0.0,0.0,0.0,0.0
0.1,50,linear@0.50,0.0,0.0,0.0,0.0
0.1,50,linear@0.90,0.42560000000000003,0.07222365440945408,0.28,0.56
0.1,50,min,0.0,0.0,0.0,0.0
0.1,60,geometric@0.10,0.0,0.0,0.0,0.0
0.1,60,geometric@0.50,0.0,0.0,0.0,0.0
0.1,60,geometric@0.90,0.0,0.0,0.0,0.0
0.1,60,linear@0.10,0.0,0.0,0.0,0.0
0.1,60,linear@0.50,0.0,0.0,0.0,0.0
0.1,60,linear@0.90,0.4325333333333333,0.0620563354263231,0.3,0.55
0.1,60,min,0.0,0.0,0.0,0.0
0.1,70,geometric@0.10,0.0,0.0,0.0,0.0
0.1,70,geometric@0.50,0.0,0.0,0.0,0.0
0.1,70,geometric@0.90,0.0,0.0,0.0,0.0
0.1,70,linear@0.10,0.0,0.0,0.0,0.0
0.1,70,linear@0.50,0.0,0.0,0.0,0.0
0.1,70,linear@0.90,0.4358285714285714,0.0572926964395132,0.3285714285714285,0.5428571428571428
0.1,70,min,0.0,0.0,0.0,0.0
0.1,80,geometric@0.10,0.0,0.0,0.0,0.0
0.1,80,geometric@0.50,0.0,0.0,0.0,0.0
0.1,80,geometric@0.90,0.0,0.0,0.0,0.0
0.1,80,linear@0.10,0.0,0.0,0.0,0.0
0.1,80,linear@0.50,0.0,0.0,0.0,0.0
0.1,80,linear@0.90,0.43921249999999995,0.052093063655644506,0.3375,0.5375
0.1,80,min,0.0,0.0,0.0,0.0
0.1,90,geometric@0.10,0.0,0.0,0.0,0.0
0.1,90,geometric@0.50,0.0,0.0,0.0,0.0
0.1,90,geometric@0.90,0.0,0.0,0.0,0.0
0.1,90,linear@0.10,0.0,0.0,0.0,0.0
0.1,90,linear@0.50,0.0,0.0,0.0,0.0
0.1,90,linear@0.90,0.4417777777777778,0.04915831564228895,0.3444444444444444,0.5333333333333333
0.1,90,min,0.0,0.0,0.0,0.0
0.1,100,geometric@0.10,0.0,0.0,0.0,0.0
0.1,100,geometric@0.50,0.0,0.0,0.0,0.0
0.1,100,geometric@0.90,0.0,0.0,0.0,0.0
0.1,100,linear@0.10,0.0,0.0,0.0,0.0
0.1,100,linear@0.50,0.0,0.0,0.0,0.0
0.1,100,linear@0.90,0.44304000000000004,0.04603561314545161,0.35,0.53
0.1,100,min,0.0,0.0,0.0,0.0
0.2,10,geometric@0.10,0.0,0.0,0.0,0.0
0.2,10,geometric@0.50,0.0,0.0,0.0,0.0
0.2,10,geometric@0.90,0.0,0.0,0.0,0.0
0.2,10,linear@0.10,0.0,0.0,0.0,0.0
0.2,10,linear@0.50,0.0,0.0,0.0,0.0
0.2,10,linear@0.90,0.0,0.0,0.0,0.0
0.2,10,min,0.0,0.0,0.0,0.0
0.2,20,geometric@0.10,0.0,0.0,0.0,0.0
0.2,20,geometric@0.50,0.0,0.0,0.0,0.0
0.2,20,geometric@0.90,0.0,0.0,0.0,0.0
0.2,20,linear@0.10,0.0,0.0,0.0,0.0
0.2,20,linear@0.50,0.0,0.0,0.0,0.0
0.2,20,linear@0.90,0.0,0.0,0.0,0.0
0.2,20,min,0.0,0.0,0.0,0.0
0.2,30,geometric@0.10,0.0,0.0,0.0,0.0
0.2,30,geometric@0.50,0.0,0.0,0.0,0.0
0.2,30,geometric@0.90,0.0,0.0,0.0,0.0
0.2,30,linear@0.10,0.0,0.0,0.0,0.0
0.2,30,linear@0.50,0.0,0.0,0.0,0.0
