trial,seed,veto_fraction,lambda,operator,policy_violation_rate,veto_preservation_rate,predictive_utility
2,44,0.2,0.6000000000000001,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.65,linear,0.0,1.0,0.8153474480061494
2,44,0.2,0.65,geometric,0.0,1.0,0.8027142566421542
2,44,0.2,0.65,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.7000000000000001,linear,0.0,1.0,0.8230128121916773
2,44,0.2,0.7000000000000001,geometric,0.0,1.0,0.8117341403531313
2,44,0.2,0.7000000000000001,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.75,linear,0.07,0.9299999999999999,0.8428534091333109
2,44,0.2,0.75,geometric,0.0,1.0,0.822127283579075
2,44,0.2,0.75,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.8,linear,0.23,0.77,0.8762229033484619
2,44,0.2,0.8,geometric,0.0,1.0,0.8270723090948258
2,44,0.2,0.8,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.8500000000000001,linear,0.4,0.6,0.9039199399973866
2,44,0.2,0.8500000000000001,geometric,0.0,1.0,0.8341482007854429
2,44,0.2,0.8500000000000001,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.9,linear,0.51,0.49,0.9158745763623071
2,44,0.2,0.9,geometric,0.0,1.0,0.8408752612336389
2,44,0.2,0.9,min,0.0,1.0,0.7369154342234018
2,44,0.2,0.9500000000000001,linear,0.62,0.38,0.9220696047429278
2,44,0.2,0.9500000000000001,geometric,0.0,1.0,0.845769949027033
2,44,0.2,0.9500000000000001,min,0.0,1.0,0.7369154342234018
2,44,0.2,1.0,linear,0.71,0.29000000000000004,0.923930023073069
2,44,0.2,1.0,geometric,0.0,1.0,0.8501880855540889
2,44,0.2,1.0,min,0.0,1.0,0.7369154342234018
3,45,0.2,0.0,linear,0.0,1.0,0.5159963275837464
3,45,0.2,0.0,geometric,0.0,1.0,0.5159963275837464
3,45,0.2,0.0,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.05,linear,0.0,1.0,0.5462801220661665
3,45,0.2,0.05,geometric,0.0,1.0,0.5696006595900919
3,45,0.2,0.05,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.1,linear,0.0,1.0,0.5711779370677278
3,45,0.2,0.1,geometric,0.0,1.0,0.5891038059542375
3,45,0.2,0.1,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.15000000000000002,linear,0.0,1.0,0.5884702460630438
3,45,0.2,0.15000000000000002,geometric,0.0,1.0,0.6165200457902908
3,45,0.2,0.15000000000000002,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.2,linear,0.0,1.0,0.6145931096847056
3,45,0.2,0.2,geometric,0.0,1.0,0.6375335754916778
3,45,0.2,0.2,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.25,linear,0.0,1.0,0.6334261796198924
3,45,0.2,0.25,geometric,0.0,1.0,0.6666466803531315
3,45,0.2,0.25,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.30000000000000004,linear,0.0,1.0,0.6623766635385726
3,45,0.2,0.30000000000000004,geometric,0.0,1.0,0.6785941207504463
3,45,0.2,0.30000000000000004,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.35000000000000003,linear,0.0,1.0,0.6789285153295904
3,45,0.2,0.35000000000000003,geometric,0.0,1.0,0.6968780927535622
3,45,0.2,0.35000000000000003,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.4,linear,0.0,1.0,0.7038978686350811
3,45,0.2,0.4,geometric,0.0,1.0,0.7128595216436057
3,45,0.2,0.4,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.45,linear,0.0,1.0,0.7350441998391395
3,45,0.2,0.45,geometric,0.0,1.0,0.7415148110485005
3,45,0.2,0.45,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.5,linear,0.0,1.0,0.7499489222402995
3,45,0.2,0.5,geometric,0.0,1.0,0.7515310021782191
3,45,0.2,0.5,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.55,linear,0.0,1.0,0.7676170905525594
3,45,0.2,0.55,geometric,0.0,1.0,0.7702823932023425
3,45,0.2,0.55,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.6000000000000001,linear,0.0,1.0,0.786663754324228
3,45,0.2,0.6000000000000001,geometric,0.0,1.0,0.7829932309137098
3,45,0.2,0.6000000000000001,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.65,linear,0.0,1.0,0.8074509161888039
3,45,0.2,0.65,geometric,0.0,1.0,0.792638290489488
3,45,0.2,0.65,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.7000000000000001,linear,0.0,1.0,0.819838795567713
3,45,0.2,0.7000000000000001,geometric,0.0,1.0,0.80327416144749
3,45,0.2,0.7000000000000001,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.75,linear,0.08,0.92,0.8493216487216324
3,45,0.2,0.75,geometric,0.0,1.0,0.8146214458587825
3,45,0.2,0.75,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.8,linear,0.26,0.74,0.8861949762000383
3,45,0.2,0.8,geometric,0.0,1.0,0.8303371378296152
3,45,0.2,0.8,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.8500000000000001,linear,0.4,0.6,0.9060973680551888
3,45,0.2,0.8500000000000001,geometric,0.0,1.0,0.8352693799473454
3,45,0.2,0.8500000000000001,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.9,linear,0.52,0.48,0.9168673769366528
3,45,0.2,0.9,geometric,0.0,1.0,0.8448874898339926
3,45,0.2,0.9,min,0.0,1.0,0.7453271408414643
3,45,0.2,0.9500000000000001,linear,0.58,0.42000000000000004,0.9206755086722523
3,45,0.2,0.9500000000000001,geometric,0.0,1.0,0.8469589447437058
3,45,0.2,0.9500000000000001,min,0.0,1.0,0.7453271408414643
3,45,0.2,1.0,linear,0.66,0.33999999999999997,0.9220118049528934
3,45,0.2,1.0,geometric,0.0,1.0,0.8500466845573655
3,45,0.2,1.0,min,0.0,1.0,0.7453271408414643
4,46,0.2,0.0,linear,0.0,1.0,0.4741195643922349
4,46,0.2,0.0,geometric,0.0,1.0,0.4741195643922349
4,46,0.2,0.0,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.05,linear,0.0,1.0,0.4884927637625173
4,46,0.2,0.05,geometric,0.0,1.0,0.5153884551695733
4,46,0.2,0.05,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.1,linear,0.0,1.0,0.5205341426319935
4,46,0.2,0.1,geometric,0.0,1.0,0.5727156383128011
4,46,0.2,0.1,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.15000000000000002,linear,0.0,1.0,0.5514600124006493
4,46,0.2,0.15000000000000002,geometric,0.0,1.0,0.6161081616158345
4,46,0.2,0.15000000000000002,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.2,linear,0.0,1.0,0.5956554468248887
4,46,0.2,0.2,geometric,0.0,1.0,0.6391570439813884
4,46,0.2,0.2,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.25,linear,0.0,1.0,0.6262094131794435
4,46,0.2,0.25,geometric,0.0,1.0,0.6602902837029865
4,46,0.2,0.25,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.30000000000000004,linear,0.0,1.0,0.6454878963625289
4,46,0.2,0.30000000000000004,geometric,0.0,1.0,0.6894859134247078
4,46,0.2,0.30000000000000004,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.35000000000000003,linear,0.0,1.0,0.6738252408432233
4,46,0.2,0.35000000000000003,geometric,0.0,1.0,0.7176176311633152
4,46,0.2,0.35000000000000003,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.4,linear,0.0,1.0,0.7171797083595673
4,46,0.2,0.4,geometric,0.0,1.0,0.7420261859130431
4,46,0.2,0.4,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.45,linear,0.0,1.0,0.7429293487506233
4,46,0.2,0.45,geometric,0.0,1.0,0.7544187107035518
4,46,0.2,0.45,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.5,linear,0.0,1.0,0.7687438621421155
4,46,0.2,0.5,geometric,0.0,1.0,0.7622261024735869
4,46,0.2,0.5,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.55,linear,0.0,1.0,0.7764144359881819
4,46,0.2,0.55,geometric,0.0,1.0,0.7758693008798354
4,46,0.2,0.55,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.6000000000000001,linear,0.0,1.0,0.7874917961953918
4,46,0.2,0.6000000000000001,geometric,0.0,1.0,0.784715284600968
4,46,0.2,0.6000000000000001,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.65,linear,0.0,1.0,0.8040387253216216
4,46,0.2,0.65,geometric,0.0,1.0,0.7918041591749229
4,46,0.2,0.65,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.7000000000000001,linear,0.0,1.0,0.8184725052074687
4,46,0.2,0.7000000000000001,geometric,0.0,1.0,0.8046122314948922
4,46,0.2,0.7000000000000001,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.75,linear,0.05,0.95,0.8385031213979778
4,46,0.2,0.75,geometric,0.0,1.0,0.8138218284631814
4,46,0.2,0.75,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.8,linear,0.2,0.8,0.8711977556016817
4,46,0.2,0.8,geometric,0.0,1.0,0.8218645740139392
4,46,0.2,0.8,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.8500000000000001,linear,0.34,0.6599999999999999,0.8911554450490524
4,46,0.2,0.8500000000000001,geometric,0.0,1.0,0.8297574276948717
4,46,0.2,0.8500000000000001,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.9,linear,0.48,0.52,0.906532237980668
4,46,0.2,0.9,geometric,0.0,1.0,0.841178307323653
4,46,0.2,0.9,min,0.0,1.0,0.7518574137587462
4,46,0.2,0.9500000000000001,linear,0.58,0.42000000000000004,0.9126043713125214
4,46,0.2,0.9500000000000001,geometric,0.0,1.0,0.8465572038000821
4,46,0.2,0.9500000000000001,min,0.0,1.0,0.7518574137587462
4,46,0.2,1.0,linear,0.68,0.31999999999999995,0.9145387237296526
4,46,0.2,1.0,geometric,0.0,1.0,0.851574254798439
