trial,seed,sigma_r,operator_a,operator_b,kendall_tau,jaccard_top_k
1,43,0.0,geometric@0.10,min,0.030286975717439293,0.32450331125827814
1,43,0.0,geometric@0.50,geometric@0.90,0.03166278166278166,0.3888888888888889
1,43,0.0,geometric@0.50,min,0.592436974789916,0.6666666666666666
1,43,0.0,geometric@0.90,min,0.014830330959363215,0.2903225806451613
1,43,0.05,linear@0.10,linear@0.50,-0.007977937555402343,0.3986013986013986
1,43,0.05,linear@0.10,linear@0.90,-0.3844118619777312,0.04712041884816754
1,43,0.05,linear@0.10,geometric@0.10,0.7005819079527421,0.8691588785046729
1,43,0.05,linear@0.10,geometric@0.50,-0.011494252873563218,0.3793103448275862
1,43,0.05,linear@0.10,geometric@0.90,-0.371584699453552,0.08695652173913043
1,43,0.05,linear@0.10,min,-0.049853372434017586,0.2903225806451613
1,43,0.05,linear@0.50,linear@0.90,-0.11519763263580637,0.1834319526627219
1,43,0.05,linear@0.50,geometric@0.10,0.12021686998227503,0.43884892086330934
1,43,0.05,linear@0.50,geometric@0.50,0.8677481925586317,0.8691588785046729
1,43,0.05,linear@0.50,geometric@0.90,0.044415011037527596,0.32450331125827814
1,43,0.05,linear@0.50,min,0.47509677419354834,0.6
1,43,0.05,linear@0.90,geometric@0.10,-0.3760599884288075,0.06382978723404255
1,43,0.05,linear@0.90,geometric@0.50,-0.20377475000926515,0.15606936416184972
1,43,0.05,linear@0.90,geometric@0.90,0.2952794722678798,0.43884892086330934
1,43,0.05,linear@0.90,min,-0.20484726546652676,0.1111111111111111
1,43,0.05,geometric@0.10,geometric@0.50,0.11367781155015197,0.41843971631205673
1,43,0.05,geometric@0.10,geometric@0.90,-0.30428305400372435,0.1111111111111111
1,43,0.05,geometric@0.10,min,0.06119205298013245,0.32450331125827814
1,43,0.05,geometric@0.50,geometric@0.90,-0.012647483235718529,0.2987012987012987
1,43,0.05,geometric@0.50,min,0.5515406162464985,0.6666666666666666
1,43,0.05,geometric@0.90,min,-0.05686069130629957,0.21951219512195122
1,43,0.1,linear@0.10,linear@0.50,-0.019731800766283523,0.3793103448275862
1,43,0.1,linear@0.10,linear@0.90,-0.34246110325318246,0.0582010582010582
1,43,0.1,linear@0.10,geometric@0.10,0.7397284429553871,0.8691588785046729
1,43,0.1,linear@0.10,geometric@0.50,-0.036939064714218234,0.3698630136986301
1,43,0.1,linear@0.10,geometric@0.90,-0.33996316758747697,0.10497237569060773
1,43,0.1,linear@0.10,min,-0.044263484640812714,0.26582278481012656
1,43,0.1,linear@0.50,linear@0.90,-0.03804143126177024,0.21951219512195122
1,43,0.1,linear@0.50,geometric@0.10,0.08139773895169579,0.42857142857142855
1,43,0.1,linear@0.50,geometric@0.50,0.8606947628284254,0.8691588785046729
1,43,0.1,linear@0.50,geometric@0.90,0.1320901320901321,0.3888888888888889
1,43,0.1,linear@0.50,min,0.42564102564102557,0.5384615384615384
1,43,0.1,linear@0.90,geometric@0.10,-0.34657309894582544,0.06951871657754011
1,43,0.1,linear@0.90,geometric@0.50,-0.11674256653752446,0.17647058823529413
1,43,0.1,linear@0.90,geometric@0.90,0.3374397619738342,0.42857142857142855
1,43,0.1,linear@0.90,min,-0.15769336071822931,0.12359550561797752
1,43,0.1,geometric@0.10,geometric@0.50,0.06180344478216818,0.41843971631205673
1,43,0.1,geometric@0.10,geometric@0.90,-0.2929600710975687,0.12359550561797752
1,43,0.1,geometric@0.10,min,0.04403164774681803,0.30718954248366015
1,43,0.1,geometric@0.50,geometric@0.90,0.07239373601789709,0.3333333333333333
1,43,0.1,geometric@0.50,min,0.5105957616953218,0.6260162601626016
1,43,0.1,geometric@0.90,min,-0.019254658385093167,0.2422360248447205
1,43,0.2,linear@0.10,linear@0.50,-0.009009009009009009,0.35135135135135137
1,43,0.2,linear@0.10,linear@0.90,-0.2814281600921393,0.04712041884816754
1,43,0.2,linear@0.10,geometric@0.10,0.6566764698130033,0.7857142857142857
1,43,0.2,linear@0.10,geometric@0.50,-0.008581693403034314,0.36054421768707484
1,43,0.2,linear@0.10,geometric@0.90,-0.3436753425107089,0.1111111111111111
1,43,0.2,linear@0.10,min,0.00479700170629443,0.3157894736842105
1,43,0.2,linear@0.50,linear@0.90,-0.012522361359570662,0.1834319526627219
1,43,0.2,linear@0.50,geometric@0.10,0.11041071604451885,0.3986013986013986
1,43,0.2,linear@0.50,geometric@0.50,0.8488740617180982,0.8181818181818182
1,43,0.2,linear@0.50,geometric@0.90,0.08313908313908314,0.3888888888888889
1,43,0.2,linear@0.50,min,0.49173878835562546,0.6129032258064516
1,43,0.2,linear@0.90,geometric@0.10,-0.23230896032026374,0.0582010582010582
1,43,0.2,linear@0.90,geometric@0.50,-0.06686027324929047,0.11731843575418995
1,43,0.2,linear@0.90,geometric@0.90,0.5003791571877371,0.4084507042253521
1,43,0.2,linear@0.90,min,-0.10697108066971082,0.07526881720430108
1,43,0.2,geometric@0.10,geometric@0.50,0.10917990210768154,0.4084507042253521
1,43,0.2,geometric@0.10,geometric@0.90,-0.28608115048793015,0.12994350282485875
1,43,0.2,geometric@0.10,min,0.11956015282825459,0.36054421768707484
1,43,0.2,geometric@0.50,geometric@0.90,0.004329004329004328,0.2987012987012987
1,43,0.2,geometric@0.50,min,0.573518759959438,0.6949152542372882
1,43,0.2,geometric@0.90,min,-0.06566689388775278,0.22699386503067484
2,44,0.0,linear@0.10,linear@0.50,0.12705167173252277,0.41843971631205673
2,44,0.0,linear@0.10,linear@0.90,-0.2830811241324383,0.06382978723404255
2,44,0.0,linear@0.10,geometric@0.10,0.8246181491464512,0.8867924528301887
2,44,0.0,linear@0.10,geometric@0.50,0.09961685823754789,0.3793103448275862
2,44,0.0,linear@0.10,geometric@0.90,-0.2670254468141652,0.14942528735632185
2,44,0.0,linear@0.10,min,0.03009975920192639,0.30718954248366015
2,44,0.0,linear@0.50,linear@0.90,-0.048703906535231836,0.20481927710843373
2,44,0.0,linear@0.50,geometric@0.10,0.19643623872906824,0.45985401459854014
2,44,0.0,linear@0.50,geometric@0.50,0.8761904761904761,0.9047619047619048
2,44,0.0,linear@0.50,geometric@0.90,0.1433407383899291,0.4492753623188406
2,44,0.0,linear@0.50,min,0.45081864766904134,0.5748031496062992
2,44,0.0,linear@0.90,geometric@0.10,-0.34434749219133187,0.08108108108108109
2,44,0.0,linear@0.90,geometric@0.50,-0.16732126072243622,0.19760479041916168
2,44,0.0,linear@0.90,geometric@0.90,0.20841544627340322,0.3157894736842105
2,44,0.0,linear@0.90,min,-0.16261425123524664,0.12994350282485875
2,44,0.0,geometric@0.10,geometric@0.50,0.1657548125633232,0.41843971631205673
2,44,0.0,geometric@0.10,geometric@0.90,-0.2320222763661678,0.17647058823529413
2,44,0.0,geometric@0.10,min,0.09051333212407037,0.3422818791946309
2,44,0.0,geometric@0.50,geometric@0.90,0.11604781550830424,0.4492753623188406
2,44,0.0,geometric@0.50,min,0.5290611028315946,0.639344262295082
2,44,0.0,geometric@0.90,min,0.061519693272917404,0.3157894736842105
2,44,0.05,linear@0.10,linear@0.50,0.14355089355089354,0.3888888888888889
2,44,0.05,linear@0.10,linear@0.90,-0.2841181165203512,0.06382978723404255
2,44,0.05,linear@0.10,geometric@0.10,0.8346810422282123,0.8867924528301887
2,44,0.05,linear@0.10,geometric@0.50,0.11973180076628351,0.3793103448275862
2,44,0.05,linear@0.10,geometric@0.90,-0.26318555008210176,0.14285714285714285
2,44,0.05,linear@0.10,min,0.051863169510228325,0.2987012987012987
2,44,0.05,linear@0.50,linear@0.90,-0.0663165791447862,0.21951219512195122
2,44,0.05,linear@0.50,geometric@0.10,0.20678314491264133,0.42857142857142855
2,44,0.05,linear@0.50,geometric@0.50,0.872161172161172,0.9047619047619048
2,44,0.05,linear@0.50,geometric@0.90,0.10698231944860652,0.4084507042253521
2,44,0.05,linear@0.50,min,0.44381952255967994,0.5748031496062992
2,44,0.05,linear@0.90,geometric@0.10,-0.34629662174032394,0.07526881720430108
2,44,0.05,linear@0.90,geometric@0.50,-0.1792398108717123,0.19047619047619047
2,44,0.05,linear@0.90,geometric@0.90,0.2022857675711257,0.32450331125827814
2,44,0.05,linear@0.90,min,-0.17563585384228247,0.12359550561797752
2,44,0.05,geometric@0.10,geometric@0.50,0.18115501519756838,0.41843971631205673
2,44,0.05,geometric@0.10,geometric@0.90,-0.23595811233510133,0.16279069767441862
2,44,0.05,geometric@0.10,min,0.1080089485458613,0.3333333333333333
2,44,0.05,geometric@0.50,geometric@0.90,0.06379310344827585,0.3793103448275862
2,44,0.05,geometric@0.50,min,0.5239127489500067,0.639344262295082
2,44,0.05,geometric@0.90,min,0.011851971297266792,0.26582278481012656
2,44,0.1,linear@0.10,linear@0.50,0.057496971391296246,0.36054421768707484
2,44,0.1,linear@0.10,linear@0.90,-0.3461675579322639,0.08108108108108109
2,44,0.1,linear@0.10,geometric@0.10,0.8151605675877521,0.9230769230769231
2,44,0.1,linear@0.10,geometric@0.50,0.031924541991656084,0.3422818791946309
2,44,0.1,linear@0.10,geometric@0.90,-0.2878787878787879,0.12994350282485875
2,44,0.1,linear@0.10,min,0.0028122415219189413,0.28205128205128205
2,44,0.1,linear@0.50,linear@0.90,-0.07232913072329131,0.27388535031847133
2,44,0.1,linear@0.50,geometric@0.10,0.1318958818958819,0.3888888888888889
2,44,0.1,linear@0.50,geometric@0.50,0.8605053651782623,0.8518518518518519
2,44,0.1,linear@0.50,geometric@0.90,0.17625590382138254,0.45985401459854014
2,44,0.1,linear@0.50,min,0.4540682414698162,0.5748031496062992
2,44,0.1,linear@0.90,geometric@0.10,-0.37895878070082556,0.08695652173913043
2,44,0.1,linear@0.90,geometric@0.50,-0.1805789799618002,0.22699386503067484
2,44,0.1,linear@0.90,geometric@0.90,0.18139003646354424,0.3422818791946309
2,44,0.1,linear@0.90,min,-0.19960281486705628,0.14942528735632185
2,44,0.1,geometric@0.10,geometric@0.50,0.10420406235238544,0.3698630136986301
2,44,0.1,geometric@0.10,geometric@0.90,-0.24403694106703872,0.14942528735632185
2,44,0.1,geometric@0.10,min,0.07481940144478845,0.30718954248366015
