trial,seed,sigma_r,config_id,operator,lambda,policy_violation_rate,kendall_tau,jaccard_top_k
4,46,0.1,linear@0.10,linear,0.1,0.0,0.8793070626308777,0.941747572815534
4,46,0.1,linear@0.50,linear,0.5,0.0,0.5025351296537738,0.6949152542372882
4,46,0.1,linear@0.90,linear,0.9,0.45,0.06353201979846851,0.43884892086330934
4,46,0.1,geometric@0.10,geometric,0.1,0.0,0.7904761904761906,0.8867924528301887
4,46,0.1,geometric@0.50,geometric,0.5,0.0,0.5219569702328323,0.7094017094017094
4,46,0.1,geometric@0.90,geometric,0.9,0.0,0.2632081097197376,0.5384615384615384
4,46,0.1,min,min,,0.0,0.5482068001863065,0.7543859649122807
4,46,0.2,linear@0.10,linear,0.1,0.0,0.7441150044923631,0.8867924528301887
4,46,0.2,linear@0.50,linear,0.5,0.0,0.1974163241338814,0.5267175572519084
4,46,0.2,linear@0.90,linear,0.9,0.37,-0.21068809857032292,0.21951219512195122
4,46,0.2,geometric@0.10,geometric,0.1,0.0,0.5577819804093803,0.7543859649122807
4,46,0.2,geometric@0.50,geometric,0.5,0.0,0.2240794573643411,0.5503875968992248
4,46,0.2,geometric@0.90,geometric,0.9,0.0,-0.020408163265306124,0.36054421768707484
4,46,0.2,min,min,,0.0,0.2568897637795276,0.5625
5,47,0.0,linear@0.10,linear,0.1,0.0,1.0,1.0
5,47,0.0,linear@0.50,linear,0.5,0.0,1.0,1.0
5,47,0.0,linear@0.90,linear,0.9,0.48,1.0,1.0
5,47,0.0,geometric@0.10,geometric,0.1,0.0,1.0,1.0
5,47,0.0,geometric@0.50,geometric,0.5,0.0,1.0,1.0
5,47,0.0,geometric@0.90,geometric,0.9,0.0,1.0,1.0
5,47,0.0,min,min,,0.0,1.0,1.0
5,47,0.05,linear@0.10,linear,0.1,0.0,0.9143346659051971,0.941747572815534
5,47,0.05,linear@0.50,linear,0.5,0.0,0.6581719334012913,0.8348623853211009
5,47,0.05,linear@0.90,linear,0.9,0.48,0.24576552743650876,0.5625
5,47,0.05,geometric@0.10,geometric,0.1,0.0,0.8713116314486961,0.941747572815534
5,47,0.05,geometric@0.50,geometric,0.5,0.0,0.6825891311872619,0.8518518518518519
5,47,0.05,geometric@0.90,geometric,0.9,0.0,0.4385049978270318,0.6949152542372882
5,47,0.05,min,min,,0.0,0.7207673060884068,0.8181818181818182
5,47,0.1,linear@0.10,linear,0.1,0.0,0.8095573972844295,0.8691588785046729
5,47,0.1,linear@0.50,linear,0.5,0.0,0.4901960784313725,0.6666666666666666
5,47,0.1,linear@0.90,linear,0.9,0.46,0.06328667443173838,0.35135135135135137
5,47,0.1,geometric@0.10,geometric,0.1,0.0,0.7172952769283045,0.8348623853211009
5,47,0.1,geometric@0.50,geometric,0.5,0.0,0.5069078478849167,0.680672268907563
5,47,0.1,geometric@0.90,geometric,0.9,0.0,0.15163398692810456,0.47058823529411764
5,47,0.1,min,min,,0.0,0.4764617691154423,0.7241379310344828
5,47,0.2,linear@0.10,linear,0.1,0.0,0.7067618076792389,0.8348623853211009
5,47,0.2,linear@0.50,linear,0.5,0.0,0.15250813601167093,0.4925373134328358
5,47,0.2,linear@0.90,linear,0.9,0.4,-0.23581013092618885,0.27388535031847133
5,47,0.2,geometric@0.10,geometric,0.1,0.0,0.5646718146718146,0.7857142857142857
5,47,0.2,geometric@0.50,geometric,0.5,0.0,0.17657780815675556,0.5037593984962406
5,47,0.2,geometric@0.90,geometric,0.9,0.0,-0.04118104118104118,0.3888888888888889
5,47,0.2,min,min,,0.0,0.20680083275503122,0.5151515151515151
6,48,0.0,linear@0.10,linear,0.1,0.0,1.0,1.0
6,48,0.0,linear@0.50,linear,0.5,0.0,1.0,1.0
6,48,0.0,linear@0.90,linear,0.9,0.43,1.0,1.0
6,48,0.0,geometric@0.10,geometric,0.1,0.0,1.0,1.0
6,48,0.0,geometric@0.50,geometric,0.5,0.0,1.0,1.0
6,48,0.0,geometric@0.90,geometric,0.9,0.0,1.0,1.0
6,48,0.0,min,min,,0.0,1.0,1.0
6,48,0.05,linear@0.10,linear,0.1,0.0,0.9383209594517419,0.941747572815534
6,48,0.05,linear@0.50,linear,0.5,0.0,0.6795786612300374,0.8348623853211009
6,48,0.05,linear@0.90,linear,0.9,0.42,0.29890440231025395,0.5625
6,48,0.05,geometric@0.10,geometric,0.1,0.0,0.9074814391776129,0.941747572815534
6,48,0.05,geometric@0.50,geometric,0.5,0.0,0.6690451919809719,0.8348623853211009
6,48,0.05,geometric@0.90,geometric,0.9,0.0,0.5401335196398075,0.7543859649122807
6,48,0.05,min,min,,0.0,0.6516483516483516,0.9047619047619048
6,48,0.1,linear@0.10,linear,0.1,0.0,0.8726460881382255,0.9607843137254902
6,48,0.1,linear@0.50,linear,0.5,0.0,0.45714285714285713,0.6666666666666666
6,48,0.1,linear@0.90,linear,0.9,0.43,0.09061963025623763,0.48148148148148145
6,48,0.1,geometric@0.10,geometric,0.1,0.0,0.7867885018084905,0.941747572815534
6,48,0.1,geometric@0.50,geometric,0.5,0.0,0.4451687672026655,0.6949152542372882
6,48,0.1,geometric@0.90,geometric,0.9,0.0,0.2717948717948718,0.5384615384615384
6,48,0.1,min,min,,0.0,0.4260869565217391,0.7241379310344828
6,48,0.2,linear@0.10,linear,0.1,0.0,0.7757390417940878,0.8348623853211009
6,48,0.2,linear@0.50,linear,0.5,0.0,0.1792736525560953,0.5151515151515151
6,48,0.2,linear@0.90,linear,0.9,0.3,-0.22108407399315544,0.27388535031847133
6,48,0.2,geometric@0.10,geometric,0.1,0.0,0.6593977154724817,0.8518518518518519
6,48,0.2,geometric@0.50,geometric,0.5,0.0,0.18684674104521434,0.5267175572519084
6,48,0.2,geometric@0.90,geometric,0.9,0.0,-0.022390174775625885,0.3698630136986301
6,48,0.2,min,min,,0.0,0.12789195537287143,0.5267175572519084
7,49,0.0,linear@0.10,linear,0.1,0.0,1.0,1.0
