trial,seed,sigma_r,top_k,config_id,operator,lambda,policy_violation_rate
0,42,0.2,90,linear@0.90,linear,0.9,0.45555555555555555
0,42,0.2,100,linear@0.90,linear,0.9,0.45
0,42,0.2,10,geometric@0.10,geometric,0.1,0.0
0,42,0.2,20,geometric@0.10,geometric,0.1,0.0
0,42,0.2,30,geometric@0.10,geometric,0.1,0.0
0,42,0.2,40,geometric@0.10,geometric,0.1,0.0
0,42,0.2,50,geometric@0.10,geometric,0.1,0.0
0,42,0.2,60,geometric@0.10,geometric,0.1,0.0
0,42,0.2,70,geometric@0.10,geometric,0.1,0.0
0,42,0.2,80,geometric@0.10,geometric,0.1,0.0
0,42,0.2,90,geometric@0.10,geometric,0.1,0.0
0,42,0.2,100,geometric@0.10,geometric,0.1,0.0
0,42,0.2,10,geometric@0.50,geometric,0.5,0.0
0,42,0.2,20,geometric@0.50,geometric,0.5,0.0
0,42,0.2,30,geometric@0.50,geometric,0.5,0.0
0,42,0.2,40,geometric@0.50,geometric,0.5,0.0
0,42,0.2,50,geometric@0.50,geometric,0.5,0.0
0,42,0.2,60,geometric@0.50,geometric,0.5,0.0
0,42,0.2,70,geometric@0.50,geometric,0.5,0.0
0,42,0.2,80,geometric@0.50,geometric,0.5,0.0
0,42,0.2,90,geometric@0.50,geometric,0.5,0.0
0,42,0.2,100,geometric@0.50,geometric,0.5,0.0
0,42,0.2,10,geometric@0.90,geometric,0.9,0.0
0,42,0.2,20,geometric@0.90,geometric,0.9,0.0
0,42,0.2,30,geometric@0.90,geometric,0.9,0.0
0,42,0.2,40,geometric@0.90,geometric,0.9,0.0
0,42,0.2,50,geometric@0.90,geometric,0.9,0.0
0,42,0.2,60,geometric@0.90,geometric,0.9,0.0
0,42,0.2,70,geometric@0.90,geometric,0.9,0.0
0,42,0.2,80,geometric@0.90,geometric,0.9,0.0
0,42,0.2,90,geometric@0.90,geometric,0.9,0.0
0,42,0.2,100,geometric@0.90,geometric,0.9,0.0
0,42,0.2,10,min,min,,0.0
0,42,0.2,20,min,min,,0.0
0,42,0.2,30,min,min,,0.0
0,42,0.2,40,min,min,,0.0
0,42,0.2,50,min,min,,0.0
0,42,0.2,60,min,min,,0.0
0,42,0.2,70,min,min,,0.0
0,42,0.2,80,min,min,,0.0
0,42,0.2,90,min,min,,0.0
0,42,0.2,100,min,min,,0.0
1,43,0.0,10,linear@0.10,linear,0.1,0.0
1,43,0.0,20,linear@0.10,linear,0.1,0.0
1,43,0.0,30,linear@0.10,linear,0.1,0.0
1,43,0.0,40,linear@0.10,linear,0.1,0.0
1,43,0.0,50,linear@0.10,linear,0.1,0.0
1,43,0.0,60,linear@0.10,linear,0.1,0.0
1,43,0.0,70,linear@0.10,linear,0.1,0.0
1,43,0.0,80,linear@0.10,linear,0.1,0.0
1,43,0.0,90,linear@0.10,linear,0.1,0.0
1,43,0.0,100,linear@0.10,linear,0.1,0.0
1,43,0.0,10,linear@0.50,linear,0.5,0.0
1,43,0.0,20,linear@0.50,linear,0.5,0.0
1,43,0.0,30,linear@0.50,linear,0.5,0.0
1,43,0.0,40,linear@0.50,linear,0.5,0.0
1,43,0.0,50,linear@0.50,linear,0.5,0.0
1,43,0.0,60,linear@0.50,linear,0.5,0.0
1,43,0.0,70,linear@0.50,linear,0.5,0.0
1,43,0.0,80,linear@0.50,linear,0.5,0.0
1,43,0.0,90,linear@0.50,linear,0.5,0.0
1,43,0.0,100,linear@0.50,linear,0.5,0.0
1,43,0.0,10,linear@0.90,linear,0.9,0.0
1,43,0.0,20,linear@0.90,linear,0.9,0.25
1,43,0.0,30,linear@0.90,linear,0.9,0.26666666666666666
1,43,0.0,40,linear@0.90,linear,0.9,0.275
1,43,0.0,50,linear@0.90,linear,0.9,0.28
1,43,0.0,60,linear@0.90,linear,0.9,0.3
1,43,0.0,70,linear@0.90,linear,0.9,0.3142857142857143
1,43,0.0,80,linear@0.90,linear,0.9,0.3375
1,43,0.0,90,linear@0.90,linear,0.9,0.34444444444444444
1,43,0.0,100,linear@0.90,linear,0.9,0.39
1,43,0.0,10,geometric@0.10,geometric,0.1,0.0
1,43,0.0,20,geometric@0.10,geometric,0.1,0.0
1,43,0.0,30,geometric@0.10,geometric,0.1,0.0
1,43,0.0,40,geometric@0.10,geometric,0.1,0.0
1,43,0.0,50,geometric@0.10,geometric,0.1,0.0
1,43,0.0,60,geometric@0.10,geometric,0.1,0.0
1,43,0.0,70,geometric@0.10,geometric,0.1,0.0
1,43,0.0,80,geometric@0.10,geometric,0.1,0.0
1,43,0.0,90,geometric@0.10,geometric,0.1,0.0
1,43,0.0,100,geometric@0.10,geometric,0.1,0.0
1,43,0.0,10,geometric@0.50,geometric,0.5,0.0
1,43,0.0,20,geometric@0.50,geometric,0.5,0.0
1,43,0.0,30,geometric@0.50,geometric,0.5,0.0
